지점번호,name,name_addr,name_lat,name_lng,start_point,start_addr,start_lat,start_lng,end_point,end_addr,end_lat,end_lng
A-01,성산로,서울 마포구 성산동 275-3,37.563736903564376,126.90811796211945,봉원고가차도,서울 서대문구 대신동,37.5659400231843,126.946452440577,독립문역,서울 종로구 무악동 41-6,37.5744680817828,126.957915974354
A-02,사직로,서울 종로구 적선동 80,37.5755140820249,126.973161662111,독립문역,서울 종로구 무악동 41-6,37.5744680817828,126.957915974354,사직단,서울 종로구 사직동 1-28,37.5756532581652,126.967659901279
A-03,자하문로,서울 종로구 적선동 100-1,37.576378971195886,126.97287494298497,석파정,서울 종로구 부암동 201,37.5950231297339,126.962651139577,청운초등학교,강원 동해시 쇄운동 75,37.4855463782301,129.104276518601
A-04,대사관로,서울 성북구 성북동 330-105,37.595893443325,126.98863124751,삼청각,서울 성북구 성북동 330-230,37.5975974409627,126.982991777284,삼청공원입구,서울 종로구 삼청동 산 2-1,37.5895823159869,126.983686538484
A-05,율곡로,서울 종로구 종로6가 289-11,37.57015398850458,127.00998385259766,안국역,서울 종로구 경운동 95,37.576500118896,126.985423696742,안국동사거리,서울 종로구 송현동,37.5756528679359,126.983055635678
A-06,창경궁로,서울 종로구 연건동 28-19,37.5786489434697,126.996716954464,성균관대입구,서울 종로구 명륜3가 53-21,37.58831649367718,126.99396747284503,원남동사거리,서울 종로구 원남동,37.5759099369174,126.997360075255
A-07,대학로,서울 종로구 혜화동 180,37.5835738047263,127.001947313895,혜화동로터리,서울 종로구 혜화동,37.585546989449,127.001231821768,이화사거리,서울 종로구 연건동,37.5761478092222,127.002159945298
A-08,종로,서울 종로구 구기동,37.6085178126134,126.956370136898,신설동역,서울 동대문구 신설동 76-22,37.5760299683175,127.024456700382,동묘앞역,서울 종로구 숭인동 81-39,37.5732166600283,127.016364227103
A-09,퇴계로,서울 중구 충무로2가 65-9,37.561320146600636,126.98543344554172,상왕십리역,서울 성동구 하왕십리동 960-3,37.564438467635,127.029274674797,신당역,서울 중구 황학동 757,37.5656730531732,127.019477533278
A-10,동호로,서울 중구 신당동 355-35,37.555363208827,127.010226333202,약수역,서울 중구 신당동 369-44,37.5545053994984,127.010891666957,장충체육관,서울 중구 장충동2가 200-102,37.558178171371,127.006808757736
A-11,장충단로,서울 중구 장충동2가 산 4-10,37.5583692465112,127.005595509344,남산2호터널북단, , , ,장충체육관,서울 중구 장충동2가 200-102,37.558178171371,127.006808757736
A-12,퇴계로,서울 중구 충무로2가 65-9,37.561320146600636,126.98543344554172,서울역,서울 용산구 동자동 43-205,37.5546788388674,126.970606917394,회현역,서울 중구 남창동 116-1,37.558760244882336,126.97843725718793
A-13,세종대로,서울 중구 태평로2가 113-1,37.5628612078126,126.97647571853,서울역,서울 용산구 동자동 43-205,37.5546788388674,126.970606917394,숭례문,서울 중구 남대문로4가 29,37.5600030088843,126.975313124237
A-14,새문안로,서울 종로구 평동 112,37.5677211365632,126.968546227963,서울역사박물관,서울 종로구 신문로2가 2-1,37.5705003227005,126.970546366796,광화문역,서울 종로구 세종로 186,37.5716477085545,126.976423148119
A-15,종로,서울 종로구 구기동,37.6085178126134,126.956370136898,종로3가,서울 종로구 종로3가 10-5,37.570420844523,126.992153252476,종로2가,서울 종로구 종로2가 38-2,37.5715557705386,126.988209324531
A-16,서소문로,서울 중구 서소문동 58-7,37.5626839056797,126.97316173792,경찰청앞,서울 중구 의주로1가,37.5621244323259,126.969630614828,시청역,서울 중구 정동 5-8,37.5653444955867,126.977199342956
A-17,세종대로,서울 중구 태평로2가 113-1,37.5628612078126,126.97647571853,서울시의회,서울 중구 태평로1가 60-1,37.5675391740282,126.976447081467,덕수궁,서울 중구 정동 5-1,37.5655638710672,126.974894754989
A-18,을지로,서울 중구 을지로1가 140-1,37.5651867190291,126.981799354998,을지로3가역,서울 중구 을지로3가 335-1,37.5662905969967,126.9909855674,을지로2가,서울 중구 을지로2가 181,37.5651511309814,126.985013903885
A-19,칠패로,서울 중구 순화동 151,37.56048878084385,126.97188584385984,염천교,서울 중구 의주로2가,37.5595658705687,126.970695541407,숭례문,서울 중구 남대문로4가 29,37.5600030088843,126.975313124237
A-20,남산1호터널,서울 용산구 한남동,37.5486349649367,126.997234294854,한남1고가차도,서울 용산구 한남동,37.5398051368612,127.003969291913,남산1호터널북단, , , 
A-21,남산2호터널,서울 중구 장충동2가,37.5502026774846,126.996319860266,용암초등학교,부산 기장군 기장읍 대변리 444,35.2251555644565,129.226745987781,남산2호터널북단, , , 
A-22,남산3호터널,서울 용산구 후암동,37.5500577070323,126.985682337757,용암초등학교,부산 기장군 기장읍 대변리 444,35.2251555644565,129.226745987781,남산3호터널북단, , , 
A-23,소월로,서울 용산구 한남동 747-7,37.5394483786687,126.997388517079,도동삼거리,서울 중구 남창동,37.5559740816581,126.976957742095,숭례문,서울 중구 남대문로4가 29,37.5600030088843,126.975313124237
A-24,소파로,서울 중구 회현동1가 산 1-19,37.556687033747664,126.98399815375103,백범광장,서울 중구 회현동1가 100-115,37.5548284375293,126.97924870464,숭의여대,서울 중구 예장동 8-3,37.5572839134229,126.987469138193
B-01,도봉로,서울 도봉구 쌍문동 83-4,37.6503154624328,127.035590654773,도봉로의정부시계, , , ,도봉산역,서울 도봉구 도봉동 305-3,37.68956123294353,127.04606047975255
B-02,동일로,서울 노원구 상계동 694-1,37.6562628238079,127.060090083312,의정부IC,경기 의정부시 장암동,37.6932920335997,127.054822721202,수락지하차도,서울 노원구 상계동,37.6870028666611,127.055566353024
B-03,아차산로,경기 구리시 아천동 304-2,37.5631174949073,127.114991372624,아차산로구리시계, , , ,광나루역,서울 광진구 광장동 550-11,37.5452991715677,127.103521464507
B-04,망우로,서울 중랑구 상봉동 160-7,37.5959580171049,127.083698541782,망우로구리시계, , , ,동부제일병원,서울 중랑구 망우동 128-29,37.600665739231,127.109024676889
B-05,경춘북로,경기 남양주시 평내동 산 73-7,37.6521605397841,127.226861893497,경춘북로구리시계, , , ,신내IC,서울 중랑구 신내동 71-37,37.6158840957057,127.102260063131
B-06,화랑로,경기 안산시 단원구 원곡동 846-3,37.3268616298091,126.80133873499,갈매교차로,경기 구리시 갈매동,37.6413296275521,127.112297361605,화랑대사거리,서울 노원구 공릉동,37.621583207547,127.087216086245
B-07,북부간선도로,서울 성북구 석관동 375-28,37.614925576874,127.066870731277,북부간선도로구리시계, , , ,신내IC,서울 중랑구 신내동 71-37,37.6158840957057,127.102260063131
B-08,서하남로,경기 하남시 춘궁동 248-9,37.523379666483,127.196982027673,서하남IC입구,경기 하남시 감일동,37.5123355066532,127.151574031752,둔촌사거리,서울 송파구 방이동,37.5214318985745,127.13378252417
B-09,천호대로,서울 광진구 구의동 175-1,37.5474340560166,127.09774414284,상일IC입구,서울 강동구 상일동,37.5488662186772,127.1794680357,상일초교,서울 강동구 상일동 325-1,37.5472228902335,127.172144856224
B-10,올림픽대로,서울 강남구 압구정동 372-2,37.5342373020898,127.028013785582,강일IC,서울 강동구 고덕동 9-6,37.5729828463899,127.165506102561,암사대교남단,서울 강동구 천호동 351-1,37.5444226150933,127.119611125915
B-11,경부고속도로,경북 영천시 북안면 송포리 산 108-4,35.9328154115438,128.98489523613216,양재IC,서울 서초구 양재동,37.463533689681,127.040009752607,서초IC,서울 서초구 서초동,37.4834066843978,127.025973201198
B-12,송파대로,서울 송파구 문정동 618,37.4820976521034,127.123830694097,복정역,서울 송파구 장지동 596-21,37.4707418689753,127.126724009736,장지교,서울 송파구 장지동,37.4762376873655,127.127040795078
B-13,밤고개로,서울 강남구 수서동 713,37.4882240419215,127.101656117127,밤고개로성남시계, , , ,세곡동사거리,서울 강남구 세곡동,37.4647306754928,127.108248234658
B-14,분당수서로,경기 성남시 중원구 성남동 1732,37.4322811249515,127.121678649894,복정교차로,서울 송파구 장지동,37.4693718521383,127.123778047003,수서IC,서울 강남구 수서동,37.4924516193476,127.097315120663
B-15,과천대로,경기 과천시 과천동 325-1,37.4423990692613,126.997993068941,과천대로과천시계, , , ,사당역,서울 동작구 사당동 1112,37.4765604303289,126.981558584016
B-16,양재대로,서울 서초구 양재동 217-6,37.4619310902256,127.036287876828,선암IC,서울 서초구 우면동,37.4601545476499,127.020128308943,양재IC,서울 서초구 양재동,37.463533689681,127.040009752607
B-17,반포대로,서울 서초구 서초동 1540-6,37.4892982193408,127.008552878463,예술의전당,서울 서초구 서초동 725-1,37.4792129509778,127.01180215463367,서초3동사거리,서울 서초구 서초동,37.4840469027876,127.01140605482
B-18,시흥대로,서울 금천구 독산동 1080-5,37.4624040834165,126.89761474626,석수역,경기 안양시 만안구 석수동 737,37.43509293822681,126.90232078368835,기아대교앞,서울 금천구 시흥동,37.4387553823818,126.903192883111
B-19,금오로,경기 시흥시 과림동 615-2,37.4331949917217,126.835365994251,천왕지구삼거리,서울 구로구 천왕동,37.479282944678,126.842862452141,연지마을,전남 영암군 금정면 안노리,34.8917842935625,126.764423969293
B-20,오리로,경기 광명시 광명동 150-19,37.4794614367368,126.85564674028,천왕역,서울 구로구 오류동 14-43,37.4868564822373,126.838604215448,광명교,경기 광명시 광명동,37.4816594300792,126.846692533975
B-21,개봉로,서울 구로구 개봉동 403-108,37.4900827060184,126.855802699744,개봉교사거리,경기 광명시 광명동,37.4853875316522,126.856521788122,개봉역,서울 구로구 개봉동 415,37.4946417150651,126.858715959622
B-22,광명대교,서울 금천구 가산동,37.4850920855269,126.872297469813,광명대교사거리,경기 광명시 철산동,37.4849643517473,126.870832340469,구로IC,서울 구로구 구로동,37.4866161888127,126.878757920928
B-23,철산교,서울 금천구 가산동,37.4753532527387,126.87843696043,철산대교사거리,경기 광명시 철산동,37.4746048941329,126.876199757215,수출의다리,서울 금천구 가산동,37.4767609944339,126.884182372553
B-24,금천교,서울 금천구 가산동,37.465286726865,126.88520384569,금천교사거리,서울 금천구 독산동,37.4647771296843,126.88374419344,독산역,서울 금천구 가산동 717,37.4659755677766,126.889475639948
B-25,금하로,경기 광명시 소하동 186-15,37.4484336396353,126.877472466943,신촌사거리,경기 광명시 소하동,37.4506799912548,126.889480065845,시흥대교,서울 금천구 시흥동,37.4525122843471,126.89500621224
B-26,오정로,경기 부천시 오정동 68-2,37.5336241621004,126.791541243983,오쇠삼거리,경기 부천시 고강동,37.5421303351948,126.809029128789,외발산사거리,서울 강서구 외발산동,37.5518443152616,126.816622799005
B-27,화곡로,서울 강서구 화곡동 1106-1,37.5543763937238,126.851432710628,화곡로부천시계, , , ,화곡로입구,서울 강서구 화곡동 1106-1,37.5543763937238,126.851432710628
B-28,경인고속국도,인천 부평구 삼산동,37.5240054762198,126.757747975161,부천IC,경기 부천시 내동,37.5241911881222,126.777014975207,신월IC,서울 양천구 신월동,37.5255512468868,126.834864591611
B-29,경인로,경기 부천시 심곡본동 558,37.483464926375,126.778456659915,유한공고,서울 구로구 항동 1-7,37.48798330046932,126.82325461351519,오정초등학교,경기 부천시 원종동 247,37.5271749040005,126.807524161186
B-30,신정로,서울 양천구 신정동 743-15,37.5083426810648,126.840534991566,신정로부천시계, , , ,서부트럭터미널,서울 양천구 신정동 1315,37.50878956984014,126.83986221048815
B-31,김포대로,경기 김포시 장기동 1-4,37.6612291440127,126.664718449551,고촌IC,경기 김포시 고촌읍 전호리,37.5872169451332,126.792438041391,개화교,서울 강서구 개화동,37.5834283789084,126.798213494551
B-32,올림픽대로,서울 강남구 압구정동 372-2,37.5342373020898,127.028013785582,행주대교남단,서울 강서구 개화동 143-8,37.5927190742572,126.804443214988,방화대교남단,서울 강서구 방화동 53-11,37.5831080400941,126.819031211393
B-33,통일로,서울 은평구 진관동 80-25,37.6371704250724,126.91803174955,통일로고양시계, , , ,구파발사거리,서울 은평구 진관동,37.6390219406828,126.91673356368
B-34,서오릉로,경기 고양시 덕양구 용두동 361-336,37.6277719504529,126.888067419384,서오릉로고양시계, , , ,구산사거리,서울 은평구 갈현동 536-2,37.6137870012158,126.911628689718
B-35,수색로,서울 은평구 증산동 241,37.5793131999285,126.900221712357,수색로고양시계, , , ,수색교,서울 마포구 상암동,37.5863896811126,126.886358651369
B-36,강변북로,서울 성동구 옥수동 86,37.5392379871213,127.01810834275,가양대교북단,서울 마포구 상암동,37.5736839339029,126.864240396971,난지IC, , , 
B-37,강변북로,서울 성동구 옥수동 86,37.5392379871213,127.01810834275,구리시계,경기 구리시 수택동 383-5,37.600273989308,127.138879003794,광진교북단,서울 광진구 광장동 189-50,37.5456584172785,127.108813253128
C-01,행주대교,서울 강서구 개화동,37.5974230485232,126.80934084967,행주대교남단,서울 강서구 개화동 143-8,37.5927190742572,126.804443214988,행주대교북단,경기 고양시 덕양구 행주내동 667,37.61144411728,126.819579827537
C-03,가양대교,서울 마포구 상암동,37.5703654019561,126.861765167736,가양대교남단,서울 강서구 염창동,37.5634898145076,126.862456985557,가양대교북단,서울 마포구 상암동,37.5736839339029,126.864240396971
C-04,성산대교,서울 마포구 망원동,37.5522068927662,126.891208914151,성산대교남단,서울 영등포구 양화동 1-22,37.5462484260404,126.886252139642,성산대교북단,서울 마포구 성산동,37.5603277547008,126.896412473751
C-05,양화대교,서울 마포구 합정동,37.5428544395939,126.903547268881,양화대교남단,서울 영등포구 당산동,37.5391072861921,126.900415616196,양화대교북단,서울 마포구 합정동 345-1,37.5471076309493,126.908679285249
C-06,서강대교,서울 영등포구 여의도동,37.5378896573783,126.925585606117,서강대교남단,서울 영등포구 여의도동,37.5319585309397,126.921654302718,서강대교북단,서울 마포구 신정동,37.5442857274277,126.929793195662
C-07,마포대교,서울 영등포구 여의도동,37.5334847813468,126.936591730332,마포대교남단,서울 영등포구 여의도동,37.5235858664592,126.939043613202,마포대교북단,서울 마포구 마포동 33-18,37.5381700787052,126.943901599842
