지점번호,name,name_addr,name_lat,name_lng,start_point,start_addr,start_lat,start_lng,end_point,end_addr,end_lat,end_lng
C-08,원효대교,서울 영등포구 여의도동,37.5264790176383,126.944598183477,원효대교남단,서울 영등포구 여의도동 5,37.5224063282755,126.937085275299,원효대교북단,서울 용산구 이촌동,37.5298949088375,126.951161996718
C-09,한강대교,서울 용산구 이촌동,37.5178641354045,126.959097047391,한강대교남단,서울 동작구 본동,37.5133867635408,126.955805733352,한강대교북단,서울 용산구 이촌동,37.5224169077938,126.961800474792
C-10,동작대교,서울 용산구 이촌동,37.5079550340725,126.980962735231,동작대교남단,서울 동작구 동작동 316-3,37.5052915487787,126.980266730357,동작대교북단,서울 용산구 용산동6가 452-1,37.5155526477108,126.983241165234
C-11,반포대교,서울 서초구 반포동,37.5145843047315,126.996502588569,반포대교남단,서울 서초구 잠원동,37.5238347740296,127.015995958212,반포대교북단,서울 용산구 주성동 64,37.5224411030501,127.000719465362
C-12,잠수교,서울 서초구 반포동 649,37.51389234289653,126.99682837933047,반포고가차도,서울 서초구 반포3동,37.5052787768858,127.000977163122,반포대교남단,서울 서초구 잠원동,37.5238347740296,127.015995958212
C-13,한남대교,서울 강남구 신사동,37.5270787536836,127.012964753831,한남대교남단,서울 서초구 잠원동,37.5238347740296,127.015995958212,한남대교북단,서울 용산구 한남동 782,37.5295297068723,127.010684392794
C-14,동호대교,서울 성동구 옥수동,37.535892971625,127.021130736206,동호대교남단,서울 강남구 압구정동 378-2,37.5318163211023,127.023872042451,동호대교북단, , , 
C-15,성수대교,서울 성동구 옥수동,37.5365780660184,127.03491197015,성수대교남단,서울 강남구 압구정동,37.5291721738221,127.033754555012,성수대교북단,서울 성동구 성수동1가,37.5439514599157,127.036205386327
C-16,영동대교,서울 성동구 성수동2가,37.5303776335575,127.057328002718,영동대교남단,서울 강남구 청담동 77-4,37.5250775487636,127.054346432267,영동대교북단,서울 성동구 성수동2가,37.5372233211168,127.061153045068
C-17,청담대교,서울 광진구 자양동 824,37.52628677927954,127.06488631965645,청담대교남단,서울 강남구 청담동 77-4,37.5250775487636,127.054346432267,청담대교북단, , , 
C-18,잠실대교,서울 송파구 신천동,37.5235692080104,127.09220606777,잠실대교남단,서울 송파구 신천동,37.5160392947213,127.098087768128,잠실대교북단,서울 광진구 자양동,37.5324690380456,127.085365349949
C-19,올림픽대교,서울 송파구 신천동,37.5348516200866,127.103018247022,올림픽대교남단,서울 송파구 풍납동,37.5306119893895,127.108519865178,올림픽대교북단,서울 광진구 광장동,37.5411502223418,127.095871198987
C-20,천호대교,서울 송파구 풍납동,37.5426306588775,127.113077018695,천호대교남단,서울 송파구 풍납동 49-2,37.5411563312406,127.117075836024,천호대교북단, , , 
C-21,광진교,서울 강동구 천호동,37.5443555789916,127.114523501309,광진교남단,서울 강동구 천호동,37.5412966455234,127.124363037854,광진교북단,서울 광진구 광장동 189-50,37.5456584172785,127.108813253128
D-01,진흥로,서울 은평구 녹번동 산 1-55,37.6096942928691,126.936123897592,구기터널동측, , , ,신영동삼거리,서울 종로구 신영동,37.603492186296,126.961845123525
D-02,평창문화로,서울 종로구 평창동 158-1,37.6067666558293,126.968914847327,국민대학교앞,서울 성북구 정릉동,37.6107926306404,126.9943326111,신영동삼거리,서울 종로구 신영동,37.603492186296,126.961845123525
D-03,동호로,서울 중구 신당동 355-35,37.555363208827,127.010226333202,금호역,서울 성동구 금호동4가 1472-1,37.5482627248715,127.015829169834,약수역,서울 중구 신당동 369-44,37.5545053994984,127.010891666957
D-04,서빙고로,서울 용산구 용산동6가 168-6,37.5240180044574,126.98021428621992,한남역,서울 용산구 한남동 399-7,37.5294289189437,127.009209110584,서빙고고가차도,서울 용산구 한남동,37.5337142128709,127.007326979406
D-05,천호대로,서울 광진구 구의동 175-1,37.5474340560166,127.09774414284,군자교서단, , , ,장한평역,서울 성동구 용답동,37.5616029900695,127.063703730302
D-06,뚝섬로,서울 성동구 성수동2가 339-142,37.5390359303818,127.054189101532,용비교,서울 성동구 금호동4가,37.5459208341409,127.030575549386,옥수역,서울 성동구 옥수동 401-1,37.5415662783673,127.017393782846
D-07,동일로,서울 노원구 상계동 694-1,37.6562628238079,127.060090083312,군자교동단, , , ,화양사거리,서울 성동구 송정동 70-68,37.548341826991226,127.06745396761663
D-08,화랑로,경기 안산시 단원구 원곡동 846-3,37.3268616298091,126.80133873499,상월곡역,서울 성북구 상월곡동 26-1,37.6065588265169,127.048829192974,월곡역,서울 성북구 하월곡동 35-1,37.6018044172918,127.041460725816
D-09,동소문로,서울 성북구 길음동 20-1,37.608482732465,127.028748311194,길음교사거리,서울 성북구 돈암동,37.6013267072199,127.022059701401,성신여대입구역,서울 성북구 동선동1가 101-1,37.5929699315407,127.017124928876
D-10,화랑로,경기 안산시 단원구 원곡동 846-3,37.3268616298091,126.80133873499,화랑대역,서울 노원구 공릉동 59,37.6198415528121,127.08354407564,태릉입구역,서울 노원구 공릉동 678-1,37.618459513199,127.075405300578
D-11,도봉로,서울 도봉구 쌍문동 83-4,37.6503154624328,127.035590654773,쌍문역,서울 도봉구 창동,37.6485426057036,127.03465609756,우이교,서울 도봉구 창동,37.6428782606235,127.03090984023
D-12,동부간선도로,서울 중랑구 면목동 1049-1237,37.5846269763797,127.073093225196,월계1교서측, , , ,월릉교서측, , , 
D-13,동일로,서울 노원구 상계동 694-1,37.6562628238079,127.060090083312,노원역,서울 노원구 상계동 335-4,37.6563403513278,127.063449137455,중계역,서울 노원구 중계동 503-3,37.6450921230569,127.06411035896
D-14,증산로,서울 은평구 증산동 199-12,37.5799698526535,126.905487385023,증산3교,서울 서대문구 북가좌동,37.5801434894531,126.906297754076,증산교,서울 서대문구 북가좌동,37.5769009716469,126.90314564023
D-15,통일로,서울 은평구 진관동 80-25,37.6371704250724,126.91803174955,녹번역,서울 은평구 녹번동 55,37.6008067681825,126.935828008217,홍은사거리,서울 서대문구 홍은동 52,37.5916556183828,126.941447453578
D-16,성산로,서울 마포구 성산동 275-3,37.563736903564376,126.90811796211945,연희교차로,서울 서대문구 연희동,37.5646515445511,126.929235316222,연세대,서울 서대문구 신촌동 134,37.5655576723744,126.938389155713
D-17,연희로,서울 서대문구 연희동,37.5754057227327,126.935342660034,연희IC,서울 서대문구 남가좌동 79-166,37.5732290382485,126.923485684826,연희삼거리,서울 서대문구 연희동 88-16,37.5685600160244,126.932224446292
D-18,남부순환로,서울 관악구 봉천동,37.4847006893957,126.93640684932,외발산사거리,서울 강서구 외발산동,37.5518443152616,126.816622799005,화곡로입구,서울 강서구 화곡동 1106-1,37.5543763937238,126.851432710628
D-19,남부순환로,서울 관악구 봉천동,37.4847006893957,126.93640684932,신월IC,서울 양천구 신월동,37.5255512468868,126.834864591611,오솔길공원,서울 양천구 신월동 975-1,37.5212253589718,126.836679545563
D-20,강서로,서울 강서구 등촌동 689,37.559975361958074,126.84051669137811,까치산역,서울 강서구 화곡동 662-5,37.5322306724471,126.846444264065,화곡터널,서울 강서구 화곡동,37.5361990847631,126.84400579079
D-21,공항대로,서울 강서구 등촌동 675-7,37.5580932291472,126.843923942789,마곡역,서울 강서구 마곡동 727-717,37.56022863776301,126.82469691791624,발산역,서울 강서구 마곡동 724-3,37.5586795483395,126.837738666588
D-22,경인로,경기 부천시 심곡본동 558,37.483464926375,126.778456659915,오류IC,서울 구로구 개봉동,37.4981540920437,126.848735091943,개봉사거리,서울 구로구 개봉동,37.4973780955123,126.856494327255
D-23,경인로,경기 부천시 심곡본동 558,37.483464926375,126.778456659915,구로역,서울 구로구 구로동 563-8,37.50334245844327,126.88230919182318,신도림역,서울 구로구 신도림동 460-26,37.508908482648,126.891312500851
D-24,시흥대로,서울 금천구 독산동 1080-5,37.4624040834165,126.89761474626,독산사거리,서울 금천구 독산동,37.4714110847478,126.898190303923,시흥IC,경기 시흥시 대야동 산 29-1,37.4557947482728,126.797431200852
D-25,영등포로,서울 영등포구 신길동 65-85,37.513938492497736,126.92166861910783,오목교동측,서울 양천구 신정동 322-5,37.5169284312208,126.863629524723,관악고교,서울 영등포구 양평동2가 23-2,37.5217956286517,126.88292727312
D-26,시흥대로,서울 금천구 독산동 1080-5,37.4624040834165,126.89761474626,구로디지털단지역,서울 구로구 구로동 810-3,37.4852605752505,126.901473080039,대림사거리,서울 영등포구 대림동 990-130,37.4888829590009,126.906312362101
D-27,국회대로,서울 영등포구 당산동3가 2-7,37.525745953997394,126.90210315550537,여의2교남단, , , ,국회의사당,서울 영등포구 여의도동 1,37.5319100767819,126.914164634077
D-28,경인로,경기 부천시 심곡본동 558,37.483464926375,126.778456659915,서울교남단,서울 강남구 수서동 329-30,37.4932639691502,127.099903431784,여의도공원,서울 영등포구 여의도동 2,37.5261349157513,126.92234821796
D-29,여의대방로,서울 동작구 대방동 498-1,37.5148285274519,126.927051818524,여의교남단,서울 영등포구 여의도동 5,37.5224063282755,126.937085275299,샛강역,서울 영등포구 여의도동 4-6,37.5173737710931,126.928375058271
D-30,양녕로,서울 동작구 상도1동 528-1,37.5042913682352,126.949667715984,상도터널,서울 동작구 본동,37.50827834842,126.951908984777,노들역,서울 동작구 본동 149-6,37.5126721234205,126.953096069577
D-31,동작대로,서울 서초구 방배동 1275,37.4972694597683,126.983299532885,경문고교,서울 동작구 동작동 산 4-2,37.4925875768791,126.981608921875,이수교차로,서울 동작구 동작동 86-13,37.49988350166646,126.98495571108367
D-32,문성로,서울 금천구 독산동 974-1,37.4760795187252,126.903931612459,신림초교,서울 관악구 신림동 418-20,37.4771127217804,126.927585937218,난곡우체국앞,서울 관악구 신림동,37.4777064330828,126.915307483804
D-33,남부순환로,서울 관악구 봉천동,37.4847006893957,126.93640684932,낙성대입구,서울 관악구 봉천동,37.4785336851948,126.959909894913,낙성대역,서울 관악구 봉천동 1693-39,37.4770932409965,126.963523905001
D-34,남부순환로,서울 관악구 봉천동,37.4847006893957,126.93640684932,사당역,서울 동작구 사당동 1112,37.4765604303289,126.981558584016,예술의전당,서울 서초구 서초동 725-1,37.4792129509778,127.01180215463367
D-35,강남대로,서울 강남구 역삼동 858,37.4952488471573,127.02891292224,뱅뱅사거리,서울 강남구 도곡동,37.4895465688273,127.03166068044,강남역,서울 강남구 역삼동 804,37.4980854357918,127.028000275071
D-36,사평대로,서울 서초구 서초동 1301-4,37.5030496216364,127.021040048752,삼호가든사거리,서울 서초구 반포동,37.5047989922085,127.01035514847,서울성모병원,서울 서초구 반포동 123,37.50179179290787,127.00477249606269
D-37,반포대로,서울 서초구 서초동 1540-6,37.4892982193408,127.008552878463,서초역,서울 서초구 서초동 1748-5,37.4918499338918,127.007662120039,서울성모병원,서울 서초구 반포동 123,37.50179179290787,127.00477249606269
D-38,언주로,서울 강남구 도곡동,37.4893494356937,127.04948098959,매봉터널,서울 강남구 도곡동,37.4913465026387,127.048432956448,영동세브란스,서울 강남구 도곡동 146-92,37.4927889503163,127.046348715929
D-39,남부순환로,서울 관악구 봉천동,37.4847006893957,126.93640684932,수서IC,서울 강남구 수서동,37.4924516193476,127.097315120663,탄천1교,서울 강남구 일원동,37.5001612309338,127.082302272429
D-40,헌릉로,서울 강남구 세곡동 52-52,37.4648105232812,127.095027594872,세곡동사거리,서울 강남구 세곡동,37.4647306754928,127.108248234658,내곡IC,서울 서초구 내곡동,37.458164442214,127.075329957882
D-41,노들로,서울 동작구 노량진동 13-6,37.51473685288731,126.93682929467907,여의하류IC,서울 영등포구 여의도동,37.5322635522863,126.909711106146,여의2교,서울 영등포구 여의도동,37.5263188856523,126.912288569095
D-42,테헤란로,서울 강남구 삼성동 159-7,37.50857933831633,127.0598086324825,선릉역,서울 강남구 역삼동 802-31,37.504497373492,127.048961694022,포스코사거리,서울 강남구 대치동,37.5068365762856,127.056595204405
D-43,강남대로,서울 강남구 역삼동 858,37.4952488471573,127.02891292224,논현역,서울 강남구 논현동 279-67,37.5112018042687,127.021653112054,신사역,서울 강남구 논현동 279,37.5164350739218,127.020310824772
D-44,백제고분로,서울 송파구 방이동 148-3,37.5118371542455,127.113989697448,아시아선수촌아파트,부산 해운대구 반여동 1638,35.202046945991114,129.12161498105567,종합운동장,서울 마포구 성산동 515-6,37.5681492596569,126.89739773741
D-45,송파대로,서울 송파구 문정동 618,37.4820976521034,127.123830694097,송파역,서울 송파구 가락동 459-4,37.4997149535067,127.112193506363,석촌역,서울 송파구 송파동 69,37.5054141216925,127.107004062699
F-01,올림픽대로,서울 강남구 압구정동 372-2,37.5342373020898,127.028013785582,동작대교남단,서울 동작구 동작동 316-3,37.5052915487787,126.980266730357,한강대교남단,서울 동작구 본동,37.5133867635408,126.955805733352
F-02,강변북로,서울 성동구 옥수동 86,37.5392379871213,127.01810834275,동작대교북단,서울 용산구 용산동6가 452-1,37.5155526477108,126.983241165234,한강대교북단,서울 용산구 이촌동,37.5224169077938,126.961800474792
F-03,내부순환로,서울 종로구 부암동 394,37.5961831315369,126.961178504547,정릉터널,서울 종로구 평창동 산 6-2,37.60868681098423,126.98286014286963,국민대램프, , , 
F-04,북부간선로,경기 남양주시 일패동 782-1,37.616578594507,127.171525354572,월릉IC,서울 성북구 석관동,37.6154357983398,127.069535162018,하월곡램프,서울 성북구 동선동2가 56-1,37.5892971491967,127.019316115439
F-05,동부간선도로,서울 중랑구 면목동 1049-1237,37.5846269763797,127.073093225196,장안교,서울 중랑구 면목동,37.5807896774528,127.077287362827,군자교,서울 동대문구 장안동,37.5601025507507,127.072028001507
F-06,경부고속도로,경북 영천시 북안면 송포리 산 108-4,35.9328154115438,128.98489523613216,서초IC,서울 서초구 서초동,37.4834066843978,127.025973201198,반포IC,서울 서초구 반포동,37.5030788686325,127.018565554477
F-07,분당수서로,경기 성남시 중원구 성남동 1732,37.4322811249515,127.121678649894,수서IC,서울 강남구 수서동,37.4924516193476,127.097315120663,탄천1교,서울 강남구 일원동,37.5001612309338,127.082302272429
F-08,강남순환로,경기 광명시 소하동 722-5,37.4358965932335,126.893899497123,금천요금소,서울 금천구 시흥동 산 6-26,37.4383002590124,126.906411614542,관악IC,서울 관악구 신림동 808-383,37.468203091432,126.947150744081
F-09,서부간선도로,서울 양천구 신정동 871-25,37.5041335282719,126.873576955158,신정교,서울 구로구 신도림동,37.5166282985287,126.880152725715,목동교,서울 양천구 목동,37.5308610073837,126.887986129875
